GPU,Optimizer,Mean Accuracy,Std,Count
NVIDIA A100-SXM4-40GB,Adam,76.0,0.0,1
NVIDIA A100-SXM4-40GB,RMSprop,70.33,0.0,1
NVIDIA A100-SXM4-40GB,SGD,68.88,0.0,1
NVIDIA L4,Adam,76.27,0.0,1
NVIDIA L4,RMSprop,73.27,0.0,1
NVIDIA L4,SGD,68.7,0.0,1
NVIDIA GeForce RTX 3060,Adam,77.29,0.0,1
NVIDIA GeForce RTX 3060,RMSprop,70.62,0.0,1
NVIDIA GeForce RTX 3060,SGD,69.46,0.0,1
NVIDIA GeForce RTX 5090,Adam,77.38,0.0,1
NVIDIA GeForce RTX 5090,RMSprop,73.35,0.0,1
NVIDIA GeForce RTX 5090,SGD,68.71,0.0,1
Tesla T4,Adam,75.82,0.0,1
Tesla T4,RMSprop,73.15,0.0,1
Tesla T4,SGD,69.77,0.0,1
TPU,Adam,76.82,0.0,1
TPU,RMSprop,75.35,0.0,1
TPU,SGD,69.05,0.0,1
