GPU,TF32,AMP,Workers,Seed,Epochs,Final Train Loss,Final Test Loss,Final Train Acc,Final Test Acc
NVIDIA A100-SXM4-40GB,False,False,0,42,10,0.7529304318720728,0.6328828421574605,73.492,77.81
NVIDIA A100-SXM4-40GB,False,False,0,42,10,0.7480836624989424,0.6404941844034798,73.518,77.61
NVIDIA A100-SXM4-40GB,False,False,4,42,10,0.7540822651837488,0.6943734831447843,73.426,75.85
NVIDIA A100-SXM4-40GB,False,False,4,42,10,0.746559867925961,0.6708171884470349,73.354,76.22
NVIDIA A100-SXM4-40GB,False,True,0,42,10,0.7434651772384449,0.6630383888377419,73.606,77.21
NVIDIA A100-SXM4-40GB,True,False,4,42,10,0.7414686799506702,0.6458121839957901,73.88,77.07
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.75074525592882,0.6354493517664415,73.47,78.28
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.7523843254274725,0.6405530187148082,73.684,77.63
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.752364965503478,0.6399005383630342,73.474,77.8
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.7477626741084906,0.6510910538932945,73.662,77.98
NVIDIA GeForce RTX 3060,True,False,0,42,10,0.7529262113754097,0.6535224703293813,73.464,77.61
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.7499801803123006,0.641006576109536,73.602,77.74
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.7487261581146504,0.6471067538744286,73.734,77.84
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.7484085463806797,0.6376222745527195,73.55,77.77
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.7506840599467383,0.6395973287805726,73.366,77.91
NVIDIA GeForce RTX 5090,False,True,0,42,10,0.7488515360276108,0.657376175817055,73.526,77.35
NVIDIA GeForce RTX 5090,True,False,0,42,10,0.7472259237638215,0.6580799414387232,73.638,76.85
NVIDIA L4,False,False,0,42,10,0.7484474736253929,0.642683404533169,73.784,77.95
NVIDIA L4,False,False,0,42,10,0.7514945607051216,0.6479865931257417,73.622,77.75
NVIDIA L4,False,False,4,42,10,0.7469282709729032,0.6793750871585894,73.44,76.18
NVIDIA L4,False,False,4,42,10,0.7485201904535903,0.6714223977885668,73.524,76.04
NVIDIA L4,False,True,0,42,10,0.7424241549828473,0.6370467056956473,73.96,78.11
Tesla T4,False,False,0,42,10,0.7448371415552886,0.6473795692377453,73.436,77.59
Tesla T4,False,False,0,42,10,0.7436969489087839,0.6408538233630264,73.768,77.68
Tesla T4,False,False,4,42,10,0.7459215242844408,0.6717901146864589,73.778,76.67
Tesla T4,False,False,4,42,10,0.7481624764554641,0.6655966779099235,73.588,76.45
Tesla T4,False,True,0,42,10,0.7448930554377758,0.6435752458210233,73.694,77.73
TPU TPU,False,False,0,42,10,0.741300131963647,0.6192749870728843,74.166,78.46
TPU TPU,False,False,4,42,10,0.743570975864025,0.6706828969188884,73.78,76.64
TPU TPU,False,False,0,42,10,0.7388954087901298,0.632912697671335,73.994,78.45
TPU TPU,False,False,4,42,10,0.7469084643951768,0.6555441029464142,73.544,76.82
NVIDIA A100-SXM4-40GB,False,False,0,42,10,0.7518977885660918,0.6801989787741552,73.582,76.0
NVIDIA A100-SXM4-40GB,False,False,0,42,10,0.8149348081225325,0.8299426798579059,71.042,70.33
NVIDIA A100-SXM4-40GB,False,False,0,42,10,1.0310331811685391,0.8781310719779775,63.564,68.88
NVIDIA L4,False,False,0,42,10,0.7528461579166715,0.6702687898768654,73.466,76.27
NVIDIA L4,False,False,0,42,10,0.8140002742142933,0.7432899294020254,71.08,73.27
NVIDIA L4,False,False,0,42,10,1.0303331233961197,0.8834456529798387,63.548,68.7
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.7497902259497387,0.6551295334025274,73.628,77.29
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.7958455808327326,0.8568835929979252,72.01,70.62
NVIDIA GeForce RTX 3060,False,False,0,42,10,1.0277905837654153,0.877817391594754,63.536,69.46
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.7473679779435668,0.6410536332220971,73.454,77.38
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.8103640398101124,0.7530325349373154,71.382,73.35
NVIDIA GeForce RTX 5090,False,False,0,42,10,1.0274043159411692,0.8940827212756193,63.626,68.71
Tesla T4,False,False,0,42,10,0.7475220051872761,0.6900628088395807,73.612,75.82
Tesla T4,False,False,0,42,10,0.8062642129790752,0.7425429987002022,71.414,73.15
Tesla T4,False,False,0,42,10,1.0324242746128756,0.8667416897001146,63.472,69.77
TPU TPU,False,False,0,42,10,0.7469084643951768,0.6555441029464142,73.544,76.82
TPU TPU,False,False,0,42,10,0.8036684486872095,0.692992233777348,71.642,75.35
TPU TPU,False,False,0,42,10,1.0320587847238916,0.8854643242268623,63.352,69.05
NVIDIA A100-SXM4-40GB,False,False,4,42,10,0.7459154354641809,0.6841023651104939,73.686,75.72
NVIDIA A100-SXM4-40GB,True,False,4,42,10,0.7447255192815191,0.6888404118863842,73.56,75.85
NVIDIA A100-SXM4-40GB,True,False,0,42,10,0.7439764177097994,0.6657437127602251,73.748,77.17
NVIDIA L4,False,False,4,42,10,0.7499717612705572,0.6731028730356241,73.514,76.27
NVIDIA L4,False,False,0,42,10,0.7490189157788406,0.6453997715364529,73.676,77.55
NVIDIA GeForce RTX 3060,False,False,0,42,10,0.7516064435014944,0.6486070246636113,73.576,77.53
NVIDIA GeForce RTX 3060,True,False,0,42,10,0.7476460360505087,0.6601805158808262,73.906,77.12
NVIDIA GeForce RTX 3060,True,False,0,42,10,0.7439598723903031,0.6497255873076523,73.908,77.9
NVIDIA GeForce RTX 5090,False,False,0,42,10,0.7524852243530781,0.637025877644744,73.524,77.89
NVIDIA GeForce RTX 5090,True,False,0,42,10,0.7467749626435283,0.6283817845809309,73.674,78.45
NVIDIA GeForce RTX 5090,True,False,0,42,10,0.7498969048490305,0.6301972666118718,73.54,78.17
Tesla T4,False,False,4,42,10,0.7453245038876448,0.695431837929955,73.512,75.43
Tesla T4,False,False,0,42,10,0.7450496423274965,0.6304470013968552,73.596,78.38
TPU TPU,False,False,4,42,10,0.743570975864025,0.6706828969188884,73.78,76.64
TPU TPU,False,False,4,42,10,0.7469084643951768,0.6555441029464142,73.544,76.82
TPU TPU,False,False,0,42,10,0.7388954087901298,0.632912697671335,73.994,78.45
